keys,en,zh
UI_COMBAT_INTENT_TIP_BUFF,Buff — strengthening itself,增益 — 正在强化自身
UI_COMBAT_INTENT_TIP_BUFF_STATUS,Buff — gains {status} {k},增益 — 获得 {status} {k}
UI_COMBAT_INTENT_TIP_CHARGE,Charging a powerful attack,正在蓄力强力攻击
UI_COMBAT_INTENT_TIP_SUMMON,Summon — calls reinforcements,召唤 — 呼叫增援
UI_COMBAT_INTENT_TIP_UNKNOWN,Preparing an action,正在准备行动
UI_COMBAT_SHORT_WEAK,Weak,虚弱
UI_COMBAT_SHORT_VULNERABLE,Vuln,易伤
UI_COMBAT_SHORT_BURN,Burn,灼烧
UI_COMBAT_SHORT_BLEED,Bleed,流血
UI_COMBAT_SHORT_STUN,Stun,眩晕
UI_COMBAT_SHORT_DOUBLE_DAMAGE,Dbl,双倍
UI_COMBAT_SHORT_DODGE,Dodge,闪避
UI_COMBAT_SHORT_REGEN,Regen,再生
UI_COMBAT_SHORT_THORNS,Thorns,荆棘
UI_COMBAT_SHORT_FRAIL,Frail,脆弱
UI_COMBAT_ENEMY_APPEARED,{name} APPEARED!,{name} 出现了！
UI_COMBAT_ENEMY_TURN,ENEMY TURN,敌方回合
UI_COMBAT_YOUR_TURN,YOUR TURN,你的回合
UI_COMBAT_ENEMY_STUNNED,{name} STUNNED!,{name} 被眩晕！
UI_COMBAT_INTERRUPTED,{label} — INTERRUPTED!,{label} —— 被打断！
UI_COMBAT_INTERRUPT_DEFAULT_LABEL,ATTACK,攻击
UI_COMBAT_ENEMY_ATTACKS,ENEMY ATTACKS {n}!,敌人攻击 {n}！
UI_COMBAT_ENEMY_HITS_STATUS,ENEMY HITS {n} + {status},敌人命中 {n} + {status}
UI_COMBAT_BIG_HIT,BIG HIT: {n}!,重击：{n}！
UI_COMBAT_ENEMY_DEFENDS,ENEMY DEFENDS +{n},敌人防御 +{n}
UI_COMBAT_ENEMY_HEALS,ENEMY HEALS {n},敌人治疗 {n}
UI_COMBAT_ENEMY_CHARGING,{name} CHARGING...,{name} 蓄力中……
UI_COMBAT_ENEMY_SUMMONS,{name} SUMMONS REINFORCEMENTS!,{name} 召唤了援军！
UI_COMBAT_ENEMY_BUFFS_SELF,{name} EMPOWERS ITSELF (+{status})!,{name} 强化了自身（+{status}）！
UI_COMBAT_LOSE_HP,Lose {n} HP,失去 {n} 生命
UI_COMBAT_DOUBLE_STRENGTH,STRENGTH DOUBLED!,力量翻倍！
UI_COMBAT_STATUS_METALLICIZE,Plating,镀装
UI_COMBAT_STATUS_METALLICIZE_DESC,At the start of your turn gain Block equal to stacks. Persistent.,每回合开始获得等同层数的格挡。持续。
UI_COMBAT_STATUS_FEEL_NO_PAIN,Numb,镇痛
UI_COMBAT_STATUS_FEEL_NO_PAIN_DESC,Whenever a card is Exhausted gain Block equal to stacks. Persistent.,每当一张牌被消耗时获得等同层数的格挡。持续。
UI_COMBAT_STATUS_DARK_EMBRACE,Salvage,回收
UI_COMBAT_STATUS_DARK_EMBRACE_DESC,Whenever a card is Exhausted draw cards equal to stacks. Persistent.,每当一张牌被消耗时抽取等同层数的牌。持续。
